Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Fee,Hours,Short Description,Long Description,History,Main Image,Other Images
Gulmi Waterfall,OD_Koraput_GulmiWaterfall,Odisha,Koraput,Kotpad,18.8135,82.7123,Waterfalls,NA,NA,A less known and beautiful Waterfall in Koraput district,"Kolab stream framing a spin pool at Gulmi and drawing in huge crowed from the region just as from Chatisgarh state.Place is encircled by backwoods and hills.A tad dangerious ,yet a stupendous experience place safe house for crocodiles dam descending spots.",NA,https://i.imgur.com/ZQhZsN6.jpg,https://i.imgur.com/3Fi0NXN.jpg https://i.imgur.com/ld6oPiZ.jpg https://i.imgur.com/GfNPAtF.jpg https://i.imgur.com/nRrTQ5b.jpg
Deomali Mountain,OD_Koraput_DeomaliMountain,Odisha,Koraput,Pottangi Panchayat,18.6748,82.9824,Hills and Caves,NA,NA,The highest mountain Peak of Odisha,"It Surrounded by dark green woods, the pinnacle is wealthy in verdure. This slope extend is plentiful in mineral assets, for example, bauxite, limestone and gemstones. Deomali is spotted with creeks and profound valleys, and possessed by clans such Kandhas, Parajas, Bhumia, Malis and Bhotias. $It isn't just a wonder for the travelers yet additionally to the gutsy games darlings for hang skimming, mountaineering and trekking. On this ongoing days Odisha the travel industry Department, is finding a way to advocate this top among the voyagers as a hot place of interest by associating the Tar streets, Hill top pleasantries community, drinking water focuses on the slope top, watch towers for ideal perspective on the field. $Numerous cascades additionally found while heading for the head of hill.The most elevated mountain Peak of Odisha Deomali 1762 mt. high settling in the lap of the Eastern Ghats is an idealic for Aero Gliding and trekking undertakings. ",NA,https://i.imgur.com/9USg88f.jpg,https://i.imgur.com/THeveC1.jpg https://i.imgur.com/aNRjtc6.jpg https://i.imgur.com/v9o18MF.jpg
Gupteswar Cave ,OD_Koraput_GupteswarCave,Odisha,Koraput,Jeypore,18.8235,82.1666,Hills and Caves,NA,NA,A holy and spiritual place Of Lord Shiva  with the temple inside a cave,"Gupteswar Cave is a limestone cavern, and its principle fascination is the colossal Shiva Linga in the cavern which is supposed to be expanding in size. Explorers from everywhere throughout the nation come here during the Sravana time frame, in light of the fact that the yearly Bol Bam yatra is held at this spot. $Aficionados stroll to the Gupteshwar during Bol Bam yatra to shower in the maha kund, and afterward serenade close to the Shiva Linga. There are 200 stages to reach to the Shiva linga sanctuary. Its passageway is around 3 meters wide and 2 meters high.","The holy place is designated ""Gupteswar"" which implies the ""Concealed God"". It is so named on the grounds that it was lying covered up in the cavern for an extremely extensive stretch. One can arrive at it by climbing the 200 stages flanked with columns of champak trees.With the progression of time, the sanctuary was deserted. $Later in the seventeenth century, the Shiva lingam was found by a tracker who at that point educated about it to Maharajah Veer Vikram Dev, the lord of the area who as of late moved his capital from Nandapur to the recently framed city of Jeypore. $Thus, the ruler began a custom of making a foot excursion to the cavern of Lord Gupteswar during the blessed month of Shraavana which goes till this day. Individuals experiencing serious illnesses come here to adore the God and stay here for quite a long time in the desire for getting relieved.",https://i.imgur.com/xM7zzy5.jpg,https://i.imgur.com/r1gLft9.jpg https://i.imgur.com/u04MjvW.jpg https://i.imgur.com/ze6Y1tA.jpg https://i.imgur.com/7RRTc6K.jpg https://i.imgur.com/1jJ1Our.jpg https://i.imgur.com/3HWgbQB.jpg https://i.imgur.com/RUZ30ZZ.jpg
Sabar Shreekhetra Temple,OD_Koraput_SabarShreekhetraTemple,Odisha,Koraput,Koraput,18.8093,82.7076,Religious Sites,NA,NA,An ancient holy Jagannath Temple in the midst of hills,"Out of the few Jagannath sanctuaries in Orissa, Koraput Sabara Srikhetra Jagannath Temple is an old Jagnanath sanctuary in a spot called Koraput in Odisha. You can arrive at the sanctuary by transports running from Vishakapattanam or via trains from significant urban areas like Bhubaneshwar and Vishakapattanam. $It is a middle for revere just as an inside for Jagannath cognizance. The slope top on which the sanctuary stands is Sabara Srikhsetra. A well known ancestral celebration known as 'Parab', sorted out by UNICEF happens here as the sanctuary has some inborn birthplace. The sanctuary is open for all.It preaches tolerance, love towards other religions and it is practiced too. The Lord Jagannath here is a symbol of unity and humanitarianism rather than Sectarianism. ","The sanctuary has got its name as 'Sabara Srikhetra' on the grounds that it had been worked by an inborn gathering called the Sabaras who stayed in Koraput, Orissa. It was constructed likely around the twelfth century in run of the mill old Indian design style",https://i.imgur.com/xGv2853.jpg,https://i.imgur.com/QQl6jIs.jpg https://i.imgur.com/4ywOIL9.jpg https://i.imgur.com/yYSgkeH.jpg https://i.imgur.com/sJvXOck.jpg
Machhkund(Duduma) Waterfall,OD_Koraput_Machhkund(Duduma)Waterfall,Odisha,Koraput,Koraput,18.5195,82.4512,Waterfalls,NA,NA,A Hydroelectric Project  located near Duduma Water Falls in Machhakunda River,"The Majestic cascade, Popularly known as matsya Tirtha of epic notoriety tumbles from a stature of 175 mtrs. It has two sub-cascades, one on the Odisha side and the other on the Andhra Pradesh side.Machhakund (Duduma) Hydroelectric Project is situated close Duduma Falls, is a rough outlet for the waterway Machhkund, which moves through this harsh Terrain. $Rock-climbing devotees can have a go at arriving at the base of the tumble from the contrary side of the slope, a course tribals guarantee can be Terribly Difficult.It is a communitarian venture between the Government of Andhra Pradesh and the Government of Odisha. The undertaking, comprising of 6 units, has an introduced limit of 120 MW.","The Maharaja of Jeypore considered the possibility of a dam in 1928. Despite the fact that the making arrangements for the venture began in 1930's, the real relocation started in the late 1940s. As the undertaking was begun before freedom no legitimate records for the dislodging and restoration are accessible.",https://i.imgur.com/wvlyvSZ.jpg,https://i.imgur.com/dWHJnwk.jpg https://i.imgur.com/XG9kCsK.jpg https://i.imgur.com/IaHhQbi.jpg https://i.imgur.com/K9pBr7D.jpg https://i.imgur.com/3a3BLcT.jpg
Ananta Basudeva Temple,OD_Khordha_AnantaBasudevaTemple,Odisha,Khordha,Bhubaneswar,20.2406056,85.8357806,Religious Sites,NA,NA,"Prominent 13th century Hindu temple featuring idols of Lord Krishna, Balarama & Subhadra","The temple showcases Vaishnav symbols and figures, and resembles the Lingaraj Temple of Bhubaneswar. Inside, there are idols of Lord Krishna, Lord Balarama and Goddess Subhadra. While the idol of Balarama stands under a seven-hooded serpent, that of Subhadra holds a pot of jewels, and Lord Krishna holds a mace, chakra, lotus and conch. $Moreover, the temple has miniature shrines and most of the female sculptures are highly ornamented. Ananta Vasudeva is another name for Lord Vishnu, and legend has it that even before the temple was constructed, an idol of Lord Vishnu was worshipped here. ","It appears that the original image of Vishnu was worshipped on the spot where the great temple of Ananta Vasudeva was built in the 13th century A.D. Thus in the 13th century, Queen Chandrika of Eastern Ganga dynasty was prompted to construct a new temple - the temple of Ananta Vasudeva in this place. There must have been an old temple where this Vishnu image was installed.$Locals say that this legend proves an older temple existed at the same site. It is said that the Marathas, who had extended their empire up to River Mahanadi in this region, renovated the Ananta Vasudeva Temple in the late 17th century.",https://i.imgur.com/Ly1xAkE.jpg,https://i.imgur.com/QPvLdv1.jpg https://i.imgur.com/gNvUKJj.jpg https://i.imgur.com/Yx8DZ9W.jpg https://i.imgur.com/c9J28pe.jpg https://i.imgur.com/wjxkxdh.jpg https://i.imgur.com/z6xDKiM.jpg 
Atri Hot Spring,OD_Khordha_AtriHotSpring,Odisha,Khordha,Khordha,20.2112,85.5123,Dams & Water Reservoirs,NA,NA,A natural hot water spring to soothe the skin and mind. The hot water is said to be created because of the radioactive activity underground,"This spring, located amidst greenery, is enriched with the goodness of sulphur, and it is believed that a dip in its water can cure visitors of skin ailments. The water's temperature is about 55 degrees centigrade, so it is not boiling hot, which makes it suitable for children as well. $There is a bathing complex located in the vicinity, which provides facilities for steam-bathing to tourists. The spring can be visited throughout the year and is considered sacred by many. Lots of locals come here to have family picnics. While visiting here, one can also pay a visit to the various temples that are located nearby.","This place is famous for sulphur spring and Famous Shrines temple dedicated to Lord Hatakeswara. Amidst  paddy fields  a  hot  spring  bubbles  up  from  the ground and a strong odours  of  sulphur  pervades  the locality.  The temperature of the spring water is about 55 degree Celsius. The soil at the spring and for a considerable distance round it is composed of alluvium, of marl and literate. $The water of the hot spring is collected in a reservoir which is provided with outlets to prevent stagnation. The circumference of the reservoir is 10 feet and the depth is 15 feet.  The water is clear and stones lying at the bottom of the reservoir are visible when the sun’s rays fall on the water.  It has been calculated that per hour 375 cubic feet of water is flowing out of the reservoir.",https://i.imgur.com/w4j54ZT.jpg,https://i.imgur.com/D3Snj6w.jpg https://i.imgur.com/8tupPQF.jpg https://i.imgur.com/zqwnNc1.jpg https://i.imgur.com/VBs953O.jpg https://i.imgur.com/BXslQYy.jpg 
Barunei Hills,OD_Khordha_BaruneiHills,Odisha,Khordha,Khordha,20.162037,85.64734,Hills & Caves,NA,NA,A road trip to the top of this hill witnesses the beauty and calmness of nature,This hillock is a popular picnic spot and its proximity to Khurda Fort and many other tourist hotspots has made it a popular stopover for sightseeing. Barunei Hill is also home to a shrine dedicated to Goddess Barunei. Legend has it that king Ramachandra Dev had built the temple for the goddess. $A stream called Swarna Ganga flows down the hill and its water is said to have many medicinal properties. Tourists often come here to bathe in its curative water. The hill also makes for a nice trekking spot and local lore says the Pandavas had stayed in the caves in these hills. ,"Located on the foothills of Barunei hills- the two presiding deities of the temple are Goddess Barunei and Goddess Karunei. Both the deities are regarded as manifestations of Goddess Shakti.The goddesses were worshipped as the family deity of the Bhoi dynasty of Khurda and the temple is believed to have been built by the founder of Bhoi Dynasty King Rama Chandra Dev-I,around the year 1590 AD.$King Ramachandra Deva, established Khurda as his new capital and named it “Jagannathpurkatak”. The deities were revered by the Paika’s – the warrior clan of erstwhile kingdom of Kalinga- modern day Odisha.The Goddesses are offered a kind of pancake made up of rice, lentils and coconut covered with leaves- in Odia its called Pitha and rice cooked with lentils called- Khichdi in Odia.$The hillock of Barunei has many legends associated with it- Its believed that Lord Ram visited the hills and so did the Pandava’s during their exile.The two goddesses are considered as the protector of the kingdom of Khurda and are very powerful. It’s alleged that the Muslim invaders undermined the powers of the goddesses by sacrificing a cattle in the temple premise, which helped them capture Khurda in 1606.The act was repeated by the British to suppress the Paika rebellion, when they smeared their weapons with the blood of a bullock.",https://i.imgur.com/1CGi4Sk.jpg,https://i.imgur.com/IqPRizu.jpg https://i.imgur.com/xa4MxWd.jpg https://i.imgur.com/XvkjWWQ.jpg https://i.imgur.com/KwO4OAl.jpg https://i.imgur.com/HZjkpZP.jpg 
Biju Patnaik Park/Forest Park,OD_Khordha_BijuPatnaikPark,Odisha,Khordha,Bhubaneswar,20.2561,85.8269,Garden & Parks,NA,NA,"Sprawling city park featuring expanding green spaces, manicured gardens, playgrounds & trails","Sprawling over 22 acres of land, there is a  statue of Biju Patnaik, the former Chief minister of odisha in the Park. The park has multiple jogging tracks, foam fountain and a playground for children. Opens regularly from 4.00am-2.00pm & 5.00pm-8.00pm. A perfect destination for day out and photoshoot. Suitable for both family & couples.",NA,https://i.imgur.com/8KIiaPX.jpg,https://i.imgur.com/IL7Entk.jpg https://i.imgur.com/zSXFfjk.jpg https://i.imgur.com/J7shvQD.jpg https://i.imgur.com/cox7wzA.jpg https://i.imgur.com/avgrgyn.jpg https://i.imgur.com/hkp5Jbe.jpg 
Botanical Garden,OD_Khordha_BotanicalGarden,Odisha,Khordha,Bhubaneswar,20.304,85.8058,Garden & Parks,NA,NA,The state botanical park is an amazing place for a day out with family or friends. It houses many beautiful and unique landscapes,The State Botanical Garden spreads over an area of 75 ha. It is situated in the sylvan settings of the moist deciduous forest of the sprawling green Nandankanan sanctuary hemmed between two wetlands. One would be definitely impressed by the nature’s symphony and the exquisite touch of the wilderness here The State Botanical Garden is sure to provide memorable experience to the green enthusiasts.,The Botanical Garden was established in the year 1963 and was under the management of Horticulture Department. The management of the State Botanical Garden was transferred to Nandankanan on 1st August 2006. This is one of the pioneering plant conservation and nature education centre of the State. $The State Botanical Garden is situated inside Nandankanan wildlife sanctuary. Kiakani Lake with an area about 25 ha. is located inside the State Botanical Garden.,https://i.imgur.com/9sBjkSH.png,https://i.imgur.com/SOs01Ry.jpg https://i.imgur.com/7wzMuXL.jpg https://i.imgur.com/1dIWIYj.jpg https://i.imgur.com/C7XbRDv.jpg https://i.imgur.com/2T2lwrk.jpg https://i.imgur.com/cV1aDoS.jpg https://i.imgur.com/JXY4iHB.jpg 
Buddha Jayanti Park,OD_Khordha_BuddhaJayantiPark,Odisha,Khordha,Bhubaneswar,20.3251,85.8083,Garden & Parks,NA,NA,"Breathe in pure atmosphere of this park which also contains - open air gym, yoga platform, open air theatre and small water body to name a few","Coming up near Saileshree Vihar on 47 acres of land, this will be one of the biggest parks in Bhubaneswar, having a lake with boating facilities. The park will house one of the biggest statues of the reclining Buddha and consists of ornamental and medicinal plants. A prominent Place for photoshoot spending peaceful time with your family and beloved ones.",NA,https://i.imgur.com/zFzjRdm.jpg,https://i.imgur.com/uYCCSYA.jpg https://i.imgur.com/gDYAbfP.jpg https://i.imgur.com/Qo5iOvt.jpg https://i.imgur.com/rSn2SWC.jpg https://i.imgur.com/eHcznLc.jpg
Chandaka Elephant Sanctuary,OD_Khordha_ChandakaElephantSanctuary,Odisha,Khordha,Bhubaneswar,20.3488,85.664,Nature & Wildlife,NA,NA,"A reserve forest in the middle of the busy city, a wonder in itself. Beaware of the truncked nosed though",Chandaka Elephant Sanctury is basically located  near the southern edge of cuttack district & covered some areas of Khordha dist.This Chandaka Forest region is expanded over 175.79 sq kms.,It was designated as an elephant reservoir in Dec 1982.,https://i.imgur.com/kjCGGZL.jpg,https://i.imgur.com/MtSPjgF.jpg https://i.imgur.com/P5HywK9.jpg https://i.imgur.com/ES2x1zq.jpg https://i.imgur.com/d4OcDcV.jpg https://i.imgur.com/szzSFfF.jpg https://i.imgur.com/SZkjEPW.jpg 
Odisha State Museum,OD_Khordha_OdishaStateMuseum,Odisha,Khordha,Bhubaneswar,20.2563,85.8411,Education & History,NA,NA,"Large museum with many historical artifacts, natural history exhibits, art & a library",Located near BJB nagar Openng time is 10:00 AM to 05:00 PM everyday except Monday.,Initially started by two historians Prof. N.C Banerjee & Prof. Ghanashyam Dash in 1932 and later moved to the current building in 1960 .,https://i.imgur.com/a6q0SZ5.jpg,https://i.imgur.com/qz5nOKb.jpg https://i.imgur.com/JYHu0MC.jpg https://i.imgur.com/hdT8E4G.jpg https://i.imgur.com/Hy8IiPm.jpg https://i.imgur.com/9btGA65.jpg https://i.imgur.com/iDw4LJG.jpg 
Indira Gandhi Park,OD_Khordha_IndiraGandhiPark,Odisha,Khordha,Bhubaneswar,20.2704,85.8337,Garden & Parks,NA,NA,One of the biggest and well maintained parks of the smart city which is very easily accessible,"This Park is expanded over a 10.60 Acres of land at the central area of Bhubneswer. Park is decorated with flower gardens and also an Open Gym is available there.Two Entrance gates are there one at PMG squere sude & another one is atJaydev Bhawan side. Parking ,washroom facilities available .Nice place for photoshoot. No entry fee.Suitable for Both Family & Couples.",This park is Named after the name of Former Prime Minister Late Mrs. Indira Gandhi .,https://i.imgur.com/jNhltLH.jpg,https://i.imgur.com/6qQ0goa.jpg https://i.imgur.com/RNNFFQ9.jpg https://i.imgur.com/ItWHtLY.jpg https://i.imgur.com/6Eg3YWS.jpg https://i.imgur.com/PVIXOIm.jpg https://i.imgur.com/iRbWle8.jpg 
Madhusudan Das Park,OD_Khordha_MadhusudanDasPark,Odisha,Khordha,Bhubaneswar,20.2452,85.8109,Garden & Parks,NA,NA,Landscaped park named after the first graduate and advocate of Odisha,"This park is a nice place for spending peaceful time with faily and friends.Most prominent time is evening hours to enjoy the scenic beauty of light setups in between woods.There is no entry fee, Playing area for children, open gym ,Photoshoot And parking Facility Is available.Suitable for both family and couples.","Named after Late Madhusudan Das who is also known as (Madhu Barister), who was the first Graduate and advocate of Odisha.",https://i.imgur.com/4Ub9mMo.jpg ,https://i.imgur.com/w13ifk7.jpg https://i.imgur.com/8ooxXu1.jpg https://i.imgur.com/8TpzP10.jpg https://i.imgur.com/UGDkb7f.jpg https://i.imgur.com/9jt4yHe.jpg 
Ekamra Kanan Botanical Garden,OD_Khordha_EkamraKananBotanicalGarden,Odisha,Khordha,Bhubaneswar,20.304,85.8058,Garden & Parks,NA,NA,"Landscaped park with a rose garden, cactus collection, musical fountain & lake with paddle boats","One of the Best place for Photoshoot, Morning Workout, Running sessions, Yoga and Hangout in Bhubaneswar. You can head to this place if you need a break from your busy life and sit on the well groomed green grass for a while.There is also a children park here, within a few meters from the main gate.$There is a glass house or the green house where all the cactus plants are kept. A part of This garden has beautiful flowers too but you are not allowed to touch them or pluck them as security service is really strict. So better to not to try this out.",The park was established in 1985 and is spread over an area of 500 acres of land. This botanical park is a part of Government of Odisha's research organisation Regional Plant Resource Centre (RPRC).,https://i.imgur.com/zSCPyVK.jpg,https://i.imgur.com/qGS7rm0.jpg https://i.imgur.com/GxWt5ST.jpg https://i.imgur.com/0xwm6Kv.jpg https://i.imgur.com/8GKIXUu.jpg https://i.imgur.com/pKgR88q.jpg https://i.imgur.com/puq3hbd.jpg
Pathani Samanta Planetarium,OD_Khordha_PathaniSamantaPlanetarium,Odisha,Khordha,Bhubaneswar,20.2981,85.8322,Education & History,NA,NA,Seek the stars and beyod with the astronomical displays being cast onto the roof of this modernistic government run institution,"Pathani Samanta Planetarium is Named after the great Indian astronomer Mahamahopadhyaya Chandrasekhara Singha Harichandana Mahapatra Samanta (Odia: ମହାମହୋପାଧ୍ୟାୟ ଚନ୍ଦ୍ରଶେଖର ସିଂହ ହରିଚନ୍ଦନ ମହାପାତ୍ର ସାମନ୍ତ), whose birth place was in Nayagarh District Odisha who is generally known for his ""Naked eye astronomy"". $Here you can enjoy the Audio & Visualshow related to astronomy,Planets & loads more. The show that it displays on outer space is quite alluring and is played every day except on Monday. ",This Planetarium is Named after the great Indian astronomer Mahamahopadhyaya Chandrasekhara Singha Harichandana Mahapatra Samanta.,https://i.imgur.com/UCcAWkf.jpg,https://i.imgur.com/uO5CVje.jpg https://i.imgur.com/axqlFMm.jpg https://i.imgur.com/MuuDEZ0.jpg https://i.imgur.com/Z2A5FTE.jpg https://i.imgur.com/4ZfFjob.jpg 
Iskcon Temple,OD_Khordha_IskconTemple,Odisha,Khordha,Bhubaneswar,20.2891,85.8133,Religious Sites,NA,NA,A holy and peaceful environment that cherishes your heart as well as stomach with its food delicacies,"ISKON is an organization of the Vedic tradition established in the West to perpetuate the ancient wisdom of the Vedas.This provides an alterntive to the main jagannath temple as te main temple is restricted to indians only.This temple is very huge, dedicated to Radhe-Krishna . $Great engineering and an extremely serene spot and the abutting restaurant""Govinda's Prasadam"" is likewise goodIt is truly sensible and for about 100Rs you get a magnificent vegan Thali without onion garlic which is topped off as you wish. For westerners there are spoons and filtered water  which is a relief.One needs to hang tight for a free seat.","His Divine Grace A. C. Bhaktivedanta Swami Prabhupada legally constituted the society of ISKCON (International Society for Krishna Consciousness) in 1966 in New York. He is the Founder-Acarya of ISKCON.  In year 1991 The ISKON temple , BBSR was built by ISKON. ",https://i.imgur.com/yfmmWou.jpg,https://i.imgur.com/oIvnodz.jpg https://i.imgur.com/epYsDbi.jpg https://i.imgur.com/OlWxlR6.jpg https://i.imgur.com/9j2Apop.jpg https://i.imgur.com/Yd9IqFK.jpg 
Shree Ram Mandir,OD_Khordha_ShreeRamMandir,Odisha,Khordha,Bhubaneswar,20.2774,85.843,Religious Sites,NA,NA,"The heart temple of the Temple city - housing Lord Rama, Lord Laxman & goddess Sita","Shri Ram Mandir in BBSR is a sanctuary lodging delightful pictures of Lord Rama, Lord Lakshman, and Goddess Sita. The high rising tower of the primary sanctuary obvious from numerous pieces of the capital city, is its fundamental attraction.The complex likewise contains holy places dedicated to ochre-painted marble icons of Lord Hanuman, Lord Shiva and other gods.$Almost each celebration of Hindus are commended around the year. Ram Navami, Vivaha Panchami, Janmashtami, Dussehra, Shivaratri, Pana Sankranti are the significant ones. The brilliant Aarathi during morning and night draws a great deal of lovers.",NA ,https://i.imgur.com/yR11gwj.jpg,https://i.imgur.com/24C7CUB.jpg https://i.imgur.com/sjJjaZY.jpg https://i.imgur.com/8gCMKfW.jpg https://i.imgur.com/FdVHzud.jpg https://i.imgur.com/FafnedH.jpg https://i.imgur.com/6TQ2st6.jpg 
Nandankanan Zoo,OD_Khordha_NandankananZoo,Odisha,Khordha,Bhubaneswar,20.3958,85.826,Zoos & Reserves,NA,NA,"Zoo with 1500+ animals, including white tigers & pangolins complemented by botanical garden and scenic lake","The second Largest Zoo in India.Nandankanan, actually meaning The Garden of Heaven, is situated close to the capital city, Bhubaneswar, in the environs of the Chandaka timberland, and incorporates the 134-section of land (54 ha) Kanjia lake.The zoo is home to around 1660 individual creatures speaking to 166 species, including 67 types of well evolved creatures, 81 types of winged animals, and 18 types of reptiles.$Endangered species, for example, the Asiatic lion, three Indian crocodiles, Sangal lion-followed macaque, Nilgiri langur, Indian pangolin, mouse deer and endless flying creatures, reptiles and fish have been reproducing effectively at Nandankanan.A exceptional white tiger safari built up here.Boating on oar or rowboats in the blue water of Kanjia lake is an elating encounter. $The multi-story Boat Ghat is remodeled to give new looks giving enough space to the guests to unwind and appreciate the beautiful new water spreading over a zone of in excess of 66 ha. lake.The Reptile Park's cavern like passageway is monitored by a real existence size Tyrannosaurus rex copy. This houses various types of crocodiles, reptiles, turtles, and snakes.",Established in 29 December 1960. it was opened to the public in 1979 and became the first zoo in India to join World Association of Zoos and Aquariums (WAZA) in 2009.A major upgrade was done in 2000 (after the damage caused by the super-cyclone of 1999 in coastal Odisha).,https://i.imgur.com/K3qgN3u.jpg,https://i.imgur.com/J9riJ7Q.jpg https://i.imgur.com/nrTo7Wh.jpg https://i.imgur.com/y50bA2f.jpg https://i.imgur.com/gdPgzw1.jpg https://i.imgur.com/AOhDGdA.jpg https://i.imgur.com/pziZLiN.jpg https://i.imgur.com/8XjDvYZ.jpg https://i.imgur.com/Ycy7Mlp.jpg 
Lingaraj Temple,OD_Khordha_LingarajTemple,Odisha,Khordha,Bhubaneswar,20.233721,85.838676,Religious Sites,NA,NA,"Ancient Hindu temple compound featuring carved stone towers, courtyards & numerous shrines","Lingaraj Temple is a Hindu temple dedicated to Lord Shiva and is the largest and  one of the ancient temple in Bhubaneswar, the capital of Odisha. The temple is the qualitative representation of ancient Architecture of Kalinga that we can say was at the peak in the middle ages. $The Holy linga of Lord Shiva is regarded as 'Swayambhu' (self-originated) and worshipped as a combination of  Lord Shiva and Lord Vishnu.. That’s because  It is said that when construction of Lingaraj Temple was about to be completed, Jagannath culture started growing in Odisha. Hence, the presiding deity here is known as Hari-Hara; Hari denotes Lord Vishnu and Hara meaning Lord Shiva. “Maha-Sivaratri”  is the greatest festival of lord Shiva is observed with highest craze and is the main festival related to this temple ",It is believed that the building the temple was initialized by ‘SomaVansi Dynasty’ and later addition by ‘Ganga Rulers’.The temple was completed in 11th Century CE . But King Jajatikeshari is Considered as the Creator Of this Holy Majestic Temple.,https://i.imgur.com/CZzCCcI.jpg ,https://i.imgur.com/Kmg0MsN.jpg https://i.imgur.com/Aarecg8.jpg https://i.imgur.com/FL9VW2t.jpg https://i.imgur.com/tVT1WaM.jpg https://i.imgur.com/mdSh0lG.jpg https://i.imgur.com/ICNVVC7.jpg https://i.imgur.com/Vtxm3w4.jpg https://i.imgur.com/QnH81kc.jpg 
Shanti Stupa Dhauli,OD_Khordha_ShantiStupaDhauli,Odisha,Khordha,Bhubaneswar,20.113254,85.502216,Religious Sites,NA,NA,Striking white peace pagoda & Buddhist Shrine constructed atop Dhauli Hill in 1972,"It is present beside Daya river which is said to be turned into red with the blood of  the deceased warriors in the Kalinga war, and later that helped King Ashoka to realize the tragic sequences of war.This oplace has precious Edicts of King Ashoka engraved over a huge rock by the roadside to the main place of the hill., Thats  On the top of the hill, a dazzling white peace pagoda has been built by the Japan Buddha Sangha and the Kalinga Nippon Buddha Sangha in the 1970s.","Dhauli hill is believed to be the area where the Kalinga War was faught between the Peole of Kalinga & The King Ashoka –The Great.The only rever near this hill, Daya river which is said to be turned into red with the blood of  the deceased warriors in the Kalinga war.$The dazzling white peace pagoda has been built by the Japan Buddha Sangha and the Kalinga Nippon Buddha Sangha in the 1970s which now we  call as Dhauli Shanti Stupa.",https://i.imgur.com/WPulpmW.jpg ,https://i.imgur.com/a9xQt71.jpg https://i.imgur.com/flQzQ78.jpg https://i.imgur.com/sNbWgHt.jpg https://i.imgur.com/hvX6sIc.jpg https://i.imgur.com/DzMQjxf.jpg https://i.imgur.com/jQmVrvU.jpg https://i.imgur.com/yBz3nt6.jpg https://i.imgur.com/fyHipyB.jpg 
Khandagiri Udayagiri Caves,OD_Khordha_KhandagiriUdayagiriCaves,Odisha,Khordha,Bhubaneswar,20.262831,85.786029,Hills & Caves,NA,NA,"A testimonial to the architectural genius of ancient India representing messages of love, compassion and religious tolerance. These wonders of India date back to the first century BC","Udayagiri and Khandagiri Caves, are partly natural and partly artificial caves of archaeological, historical and religious importance near the city of Bhubaneswar. The caves are situated on two adjacent hills, Udayagiri and Khandagiri","It is believed that most of these caves were carved out as residential blocks for Jaina monks during the reign of King Kharavela. Udayagiri denotes ""Sunrise Hill"" which has 18 caves while Khandagiri has 15 caves.",https://i.imgur.com/8nvSreI.jpg ,https://i.imgur.com/EQcApj6.jpg https://i.imgur.com/XGWmRNI.jpg https://i.imgur.com/2KjZ1mH.jpg https://i.imgur.com/8kaEoYa.jpg https://i.imgur.com/Hwe5BfF.jpg https://i.imgur.com/yN9zA0J.jpg https://i.imgur.com/xbXOQzE.jpg 
Ocean World Waterpark,OD_Khordha_OceanWorldWaterpark,Odisha,Khordha,Bhubaneswar,20.2942,85.9435,Garden & Parks,NA,NA,The real amusement water park near the city. The perfect place to enjoy ur summer,"Ocean World Water Park is one among the best and the most popular water parks of the city. Apart from the massive water rides and roller coasters, Ocean World also has an amusement park facilitated with umpteen regular rides and fun activities.Abest placeto spendtime in summer.",NA,https://i.imgur.com/XaqbASv.jpg ,https://i.imgur.com/0743daN.jpg https://i.imgur.com/VhRA2WI.jpg https://i.imgur.com/Epz6Imt.jpg https://i.imgur.com/PPlqXZq.jpg https://i.imgur.com/WjGEVdR.jpg 
